n,category,domain,algorithm,avg_time_ms,avg_memory_bytes,runs
16,densa,D0,Naive,0.00331,1472.0,3
16,densa,D0,Strassen,1.14128,21856.0,3
16,densa,D10,Naive,0.002843333333333333,1472.0,3
16,densa,D10,Strassen,1.11435,21856.0,3
16,diagonal,D0,Naive,0.0026333333333333334,1472.0,3
16,diagonal,D0,Strassen,1.1107566666666668,21856.0,3
16,diagonal,D10,Naive,0.0026603333333333336,1472.0,3
16,diagonal,D10,Strassen,1.1099733333333333,21856.0,3
16,dispersa,D0,Naive,0.00311,1472.0,3
16,dispersa,D0,Strassen,1.1247633333333333,21856.0,3
16,dispersa,D10,Naive,0.003113333333333334,1472.0,3
16,dispersa,D10,Strassen,1.1355066666666667,21856.0,3
64,densa,D0,Naive,0.12389733333333332,18176.0,3
64,densa,D0,Strassen,54.2263,236128.0,3
64,densa,D10,Naive,0.12538433333333335,18176.0,3
64,densa,D10,Strassen,53.5581,236128.0,3
64,diagonal,D0,Naive,0.12484733333333335,18176.0,3
64,diagonal,D0,Strassen,54.49713333333333,236128.0,3
64,diagonal,D10,Naive,0.12669433333333333,18176.0,3
64,diagonal,D10,Strassen,53.84696666666667,236128.0,3
64,dispersa,D0,Naive,0.12836733333333333,18176.0,3
64,dispersa,D0,Strassen,53.421899999999994,236128.0,3
64,dispersa,D10,Naive,0.12556733333333334,18176.0,3
64,dispersa,D10,Strassen,53.715300000000006,236128.0,3
256,densa,D0,Naive,9.414646666666668,269312.0,3
256,densa,D0,Strassen,2553.2766666666666,3305056.0,3
256,densa,D10,Naive,9.58052,269312.0,3
256,densa,D10,Strassen,2563.4233333333336,3305056.0,3
256,diagonal,D0,Naive,9.493,269312.0,3
256,diagonal,D0,Strassen,2585.476666666667,3305056.0,3
256,diagonal,D10,Naive,9.634300000000001,269312.0,3
256,diagonal,D10,Strassen,2580.773333333333,3305056.0,3
256,dispersa,D0,Naive,9.40359,269312.0,3
256,dispersa,D0,Strassen,2595.6366666666668,3305056.0,3
256,dispersa,D10,Naive,9.631586666666665,269312.0,3
256,dispersa,D10,Strassen,2590.7599999999998,3305056.0,3
